filename	source_id	subject	make	model	mode	megapixels	source_remark	source_added	bytes	sha256	source_filename	source_url	license	license_url
01-canon-eos-80d-city-tree.CR2	1296	city street and large tree	Canon	EOS 80D	sRAW2 (sRAW) (3:2)	24		2017-04-03	20220625	f9c5404b57248c21e9b269721aa0d721c3b1281c94ebdee3c50bf32db42613a8	Canon - EOS 80D - sRAW2 (sRAW) (3:2).CR2	https://raw.pixls.us/getfile.php/1296/nice/Canon%20-%20EOS%2080D%20-%20sRAW2%20%28sRAW%29%20%283%3A2%29.CR2	Creative Commons Zero 1.0 - Public Domain	https://creativecommons.org/publicdomain/zero/1.0/
02-nikon-d850-green-field.NEF	1835	green field and treeline	Nikon	D850	12bit 12bit compressed (Lossless) (3:2)	25.71		2017-10-19	23073359	31b7fe298a5c91694c6ca8b3284a0a016e572a02c3964b502d4732e8e9283da8	Nikon - D850 - 12bit 12bit compressed (Lossless) (3:2).NEF	https://raw.pixls.us/getfile.php/1835/nice/Nikon%20-%20D850%20-%2012bit%2012bit%20compressed%20%28Lossless%29%20%283%3A2%29.NEF	Creative Commons Zero 1.0 - Public Domain	https://creativecommons.org/publicdomain/zero/1.0/
03-fujifilm-xq2-harbor-ferry.RAF	1844	harbor ferry	Fujifilm	XQ2	12bit 12bit uncompressed (4:3)	12.34		2017-10-20	19430400	4bce88593f5ae8fc45aeeec8a6dee9a84c773493cc6db9dabdc28744c8ac4b4d	Fujifilm - XQ2 - 12bit 12bit uncompressed (4:3).RAF	https://raw.pixls.us/getfile.php/1844/nice/Fujifilm%20-%20XQ2%20-%2012bit%2012bit%20uncompressed%20%284%3A3%29.RAF	Creative Commons Zero 1.0 - Public Domain	https://creativecommons.org/publicdomain/zero/1.0/
04-ricoh-gr-iii-coastal-dunes.DNG	3115	coastal dunes	Ricoh	GR III	14bit (3:2)	24.84		2019-05-02	33374940	05513ee72f7cac4165534c9f64995412084f414a033c80c473c79fd94154292e	Ricoh - GR III - 14bit (3:2).DNG	https://raw.pixls.us/getfile.php/3115/nice/Ricoh%20-%20GR%20III%20-%2014bit%20%283%3A2%29.DNG	Creative Commons Zero 1.0 - Public Domain	https://creativecommons.org/publicdomain/zero/1.0/
05-sony-rx100-vii-tropical-homestead.ARW	3463	tropical homestead	Sony	DSC-RX100M7	12bit 12bit compressed (3:2)	20.21		2019-10-07	21058560	815532f017b94e31990e8111791131647c95f6953aa28c571783c5e17eb36523	Sony - DSC-RX100M7 - 12bit 12bit compressed (3:2).ARW	https://raw.pixls.us/getfile.php/3463/nice/Sony%20-%20DSC-RX100M7%20-%2012bit%2012bit%20compressed%20%283%3A2%29.ARW	Creative Commons Zero 1.0 - Public Domain	https://creativecommons.org/publicdomain/zero/1.0/
06-nikon-z6-still-life-toys.NEF	3587	toy still life	Nikon	Z 6	12bit 12bit compressed (3:2)	13.78	RAW S	2019-11-29	13507425	f0ab08da469ee205f2bc08efd9005778c64cdcb064893cee03768e32e5da1a36	Nikon - Z 6 - 12bit 12bit compressed (3:2).NEF	https://raw.pixls.us/getfile.php/3587/nice/Nikon%20-%20Z%206%20-%2012bit%2012bit%20compressed%20%283%3A2%29.NEF	Creative Commons Zero 1.0 - Public Domain	https://creativecommons.org/publicdomain/zero/1.0/
07-sony-a7c-autumn-leaf.ARW	4144	autumn leaf close-up	Sony	ILCE-7C	14bit 14bit compressed (3:2)	24.34		2020-10-28	24787712	6bfac3286f0e931e949b23e1bb236b737bb9e4117b8b42fa09e36f40f0fa8408	Sony - ILCE-7C - 14bit 14bit compressed (3:2).ARW	https://raw.pixls.us/getfile.php/4144/nice/Sony%20-%20ILCE-7C%20-%2014bit%2014bit%20compressed%20%283%3A2%29.ARW	Creative Commons Zero 1.0 - Public Domain	https://creativecommons.org/publicdomain/zero/1.0/
08-canon-eos-m200-harbor-cityscape.CR3	8470	harbor cityscape	Canon	EOS M200	CRAW (3:2)	24		2025-08-09	17606963	0585a468143c6606936d0ffbff1788c6c02e3610d8ecb50614e21492fbacd052	Canon - EOS M200 - CRAW (3:2).CR3	https://raw.pixls.us/getfile.php/8470/nice/Canon%20-%20EOS%20M200%20-%20CRAW%20%283%3A2%29.CR3	Creative Commons Zero 1.0 - Public Domain	https://creativecommons.org/publicdomain/zero/1.0/
09-google-pixel-7-pro-succulents.DNG	6168	succulent plants	Google	Pixel 7 Pro	16bit (4:3)	11.35		2022-12-04	12243982	6b921558944db5fdb4f1c63dc64919b6666ef700857a187e18500099c6e7c6c6	Google - Pixel 7 Pro - 16bit (4:3).dng	https://raw.pixls.us/getfile.php/6168/nice/Google%20-%20Pixel%207%20Pro%20-%2016bit%20%284%3A3%29.dng	Creative Commons Zero 1.0 - Public Domain	https://creativecommons.org/publicdomain/zero/1.0/
10-sony-a7-iv-neighborhood-tree.ARW	6931	neighborhood tree	Sony	ILCE-7M4	4:3	9.18	Full frame raw "lossless-small"	2023-10-19	22933504	cbbd0930c7d8706dff84c68a2004454266e6fd0d8354f5f76a106b5d776e0223	Sony - ILCE-7M4 - 4:3.ARW	https://raw.pixls.us/getfile.php/6931/nice/Sony%20-%20ILCE-7M4%20-%204%3A3.ARW	Creative Commons Zero 1.0 - Public Domain	https://creativecommons.org/publicdomain/zero/1.0/
11-om-system-tg-7-forest-floor.ORF	6946	forest floor	OM System	TG-7	16bit (4:3)	12.18	I have a couple of images with CC0 let me know if you want another. I am new to this camera.	2023-10-24	13815196	4f7344c67bfcfcfec45f754195ba612fc2ad6312f5fab87812bf04b9e9e7d46a	OM System - TG-7 - 16bit (4:3).ORF	https://raw.pixls.us/getfile.php/6946/nice/OM%20System%20-%20TG-7%20-%2016bit%20%284%3A3%29.ORF	Creative Commons Zero 1.0 - Public Domain	https://creativecommons.org/publicdomain/zero/1.0/
